Report Title: student wireless,,,,,,,,,,
Generated: Jun-01-2022, 11:28:12 EDT,,,,,,,,,
Report By:SSID,,,,,,,,,,
SSID: PASD-Student,,,,,,,,,,
Connection Protocol: All Wireless (802.11),,,,,,,,,,
Reporting Period:Last 4 Weeks,,,,,,,,,,
 ,,,,,,,,,,
Unique Clients,,,,,,,,,,
Last Association Time,User,MAC Address,Vendor,IP Address,AP Name,802.11 State,SSID,Profile,Protocol,AP Map Location
Wed Jun 01 11:15:39 EDT 2022,host/22-C38-D9H2103.pasdphantoms.net,a8:7e:ea:fb:71:47,Unknown,10.111.16.251,PAHS-GYM2.1104,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 00:42:52 EDT 2022,host/22-C42-8HK2103.pasdphantoms.net,8c:c6:81:36:9e:26,Unknown,10.111.17.39,PAHS-B2.8828,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:25:19 EDT 2022,host/22-C45-28L2103.pasdphantoms.net,a8:7e:ea:b2:f7:46,Unknown,10.111.16.239,PAHS-E1.0FA2,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 10:35:23 EDT 2022,host/22-D01-HKH2103.pasdphantoms.net,8c:c6:81:34:02:fb,Unknown,10.111.24.92,PAHS-G8.C218,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Fri May 27 11:33:46 EDT 2022,host/22-D05-2GJ2103.pasdphantoms.net,8c:c6:81:34:2a:8d,Unknown,10.111.16.116,DAO-BUSOFF01.919c,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > DAO > 2nd Floor
Wed Jun 01 10:05:11 EDT 2022,host/22-D06-4CH2103.pasdphantoms.net,a8:7e:ea:fb:71:1f,Unknown,10.111.24.207,PAHS-CAFE-03.aa48,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Wed Jun 01 11:25:44 EDT 2022,host/22-D22-22H2103.pasdphantoms.net,8c:c6:81:34:37:5d,Unknown,10.111.24.249,PAHS-D6.9250,Associated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 10:54:17 EDT 2022,host/22-D23-5P63103.pasdphantoms.net,8c:c6:81:32:cb:d9,Unknown,10.111.16.87,PAHS-J8.dbd0,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Tue May 31 10:39:11 EDT 2022,host/22-D26-CCH2103.pasdphantoms.net,a8:7e:ea:fb:71:51,Unknown,10.111.25.50,PAHS-H4.0F3A,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > 2nd Floor
Wed Jun 01 08:44:37 EDT 2022,host/22-D31-6JJ8YZ2.pasdphantoms.net,08:d2:3e:8a:93:e1,Unknown,10.111.25.60,PAHS-OFFICE-01.221c,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 12:34:58 EDT 2022,host/22-D32-FS63103.pasdphantoms.net,8c:c6:81:34:1a:f7,Unknown,10.111.17.5,PAHS-CAFE-03.aa48,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > High School > HS 1st Floor
Tue May 31 08:58:31 EDT 2022,host/22-D33-7PK8YZ2.pasdphantoms.net,08:d2:3e:c9:84:ed,Unknown,10.181.24.67,DAO-TECH.9184,Disassociated,PASD-Student,PASD-Student,802.11ac,System Campus > DAO > 2nd Floor
